Entity,Confirmed,Deaths,DaysSince100,Population,Population60Plus,PopulationDensity,GDP,GDPPerCapita,PhysiciansPer1000,BedsPer10000,CTPerMillion,CO2PerCapita,PopulationMedianAge,Obesity,Smoking,RaisedBloodPressure,GeographicRegion,Fatality,PhysicianOverload,BedOverload,CTOverload
Channel Islands,108,2,1,0.1723,23.6272,906.6263,,,,,,,,,,,,0.018518518518518517,,,
United Kingdom,19522,1228,25,67.5302,24.135,279.131,2631228.0,39758.0,2.8,33.0,,6.5,40.07,24.9,14.35,23.4,Northern Europe,0.06290339104599939,103.24481279698355,8.760165934289514,
Uruguay,304,1,9,3.4617,20.012,19.7791,59180.0,17120.0,5.0,12.0,12.91,2.0,34.16,23.6,15.55,31.1,Latin America and the Caribbean,0.003289473684210526,17.56362480862004,7.318177003591685,6.8023333883114026
United States of America,140886,2467,27,329.0649,22.418000000000003,35.9735,19485394.0,60055.0,2.6,30.0,,16.2,37.3,31.8,13.4,15.6,Northern America,0.017510611416322416,164.66941043217636,14.271348904121952,
Uzbekistan,144,2,2,32.9817,7.962000000000001,77.5311,49677.0,1557.0,2.4,46.0,,3.6,24.88,17.3,11.95,28.4,Central Asia,0.013888888888888888,1.8191906420833375,0.09491429436956543,
Venezuela (Boliv. Rep. of),119,2,4,28.5158,11.5782,32.329,255093.0,7977.0,1.9,11.0,,6.1,26.73,30.8,,31.2,Latin America and the Caribbean,0.01680672268907563,2.196381618168469,0.37937500677455377,
Viet Nam,188,0,8,96.4621,11.8554,311.0978,223780.0,2342.0,0.8,31.0,,1.8,29.41,1.6,23.3,26.1,South-eastern Asia,0.0,2.4361899647633627,0.06286941844550614,
Australia,3984,16,20,25.2032,21.4395,3.2807,1408676.0,57613.0,3.6,38.0,,15.3,37.08,25.1,10.75,18.2,Australia and New Zealand,0.004016064257028112,43.90976807177924,4.159872764694875,
Canada,6280,64,19,37.411,24.3344,4.114,1647120.0,44974.0,2.6,32.0,13.76,15.1,39.99,24.3,9.95,15.3,Northern America,0.01019108280254777,64.5634870862745,5.245783325759803,12.199496106418147
China,81444,3300,68,1433.7837,16.8409,152.7217,12237782.0,8682.0,1.8,42.0,,7.5,35.12,5.6,22.45,27.8,Eastern Asia,0.04051863857374392,31.557526192177153,1.3524654082361638,
