"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"Malawi","2010","Female","11.4",""
"Malawi","2010","Male","16.7",""
"Malawi","2010","Both sexes","14.2",""
"Malawi","2008","Female","17.9",""
"Malawi","2008","Both sexes","18.4",""
"Malawi","2008","Male","19.1",""
"Malaysia","2010","Male","35.1",""
"Malaysia","2010","Female","9.4",""
"Malaysia","2010","Both sexes","22.6",""
"Malaysia","2008","Both sexes","25.8",""
"Malaysia","2008","Male","40",""
"Malaysia","2008","Female","11.5",""
"Maldives","2010","Female","3.4",""
"Maldives","2010","Male","8.5",""
"Maldives","2010","Both sexes","5.9",""
"Maldives","2008","Male","8.5",""
"Maldives","2008","Female","3.4",""
"Maldives","2008","Both sexes","5.9",""
"Mali","2010","Male","23.1",""
"Mali","2010","Female","8.8",""
"Mali","2010","Both sexes","16.6",""
"Mali","2008","Male","23.1",""
"Mali","2008","Both sexes","16.6",""
"Mali","2008","Female","8.8",""
"Malta","2010","Female","-",""
"Malta","2010","Male","-",""
"Malta","2010","Both sexes","-",""
"Marshall Islands","2010","Both sexes","-",""
"Marshall Islands","2010","Male","-",""
"Marshall Islands","2010","Female","-",""
"Mauritania","2010","Female","17.7",""
"Mauritania","2010","Male","27.5",""
"Mauritania","2010","Both sexes","22.6",""
"Mauritania","2008","Male","31.5",""
"Mauritania","2008","Both sexes","30.7",""
"Mauritania","2008","Female","29.5",""
"Mauritius","2010","Male","20.3",""
"Mauritius","2010","Female","7.7",""
"Mauritius","2010","Both sexes","13.7",""
"Mauritius","2008","Both sexes","13.7",""
"Mauritius","2008","Male","20.3",""
"Mauritius","2008","Female","7.7",""
"Mexico","2010","Female","28.5",""
"Mexico","2010","Male","27.8",""
"Mexico","2010","Both sexes","28.6",""
"Mexico","2008","Female","28.5",""
"Mexico","2008","Male","27.8",""
"Mexico","2008","Both sexes","28.6",""
"Micronesia (Federated States of)","2010","Male","51.9",""
"Micronesia (Federated States of)","2010","Female","39.8",""
"Micronesia (Federated States of)","2010","Both sexes","46.2",""
"Micronesia (Federated States of)","2008","Both sexes","46.2",""
"Micronesia (Federated States of)","2008","Female","39.8",""
"Micronesia (Federated States of)","2008","Male","51.9",""
"Monaco","2010","Female","-",""
"Monaco","2010","Male","-",""
"Monaco","2010","Both sexes","-",""
"Mongolia","2010","Both sexes","20.7",""
"Mongolia","2010","Male","25.7",""
"Mongolia","2010","Female","16",""
"Mongolia","2008","Both sexes","20.7",""
"Mongolia","2008","Male","25.7",""
"Mongolia","2008","Female","16",""
