"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"Russian Federation","2008","Female","29.8 [25.8-33.9]",""
"Russian Federation","2008","Both sexes","24.9 [22.2-27.6]",""
"Rwanda","2008","Both sexes","4.3 [2.0-8.4]",""
"Rwanda","2008","Female","4.0 [2.1-6.7]",""
"Rwanda","2008","Male","4.9 [0.7-13.4]",""
"Saint Kitts and Nevis","2008","Male","32.0 [25.5-39.0]",""
"Saint Kitts and Nevis","2008","Female","49.4 [41.5-56.9]",""
"Saint Kitts and Nevis","2008","Both sexes","40.9 [35.6-46.2]",""
"Saint Lucia","2008","Both sexes","22.3 [13.6-30.9]",""
"Saint Lucia","2008","Female","31.9 [17.1-45.9]",""
"Saint Lucia","2008","Male","11.9 [4.7-22.3]",""
"Saint Vincent and the Grenadines","2008","Male","16.4 [6.1-29.4]",""
"Saint Vincent and the Grenadines","2008","Female","33.5 [15.3-51.1]",""
"Saint Vincent and the Grenadines","2008","Both sexes","25.1 [14.6-36.2]",""
"Samoa","2008","Both sexes","55.5 [49.8-61.7]",""
"Samoa","2008","Female","66.7 [57.7-75.7]",""
"Samoa","2008","Male","45.3 [37.5-53.1]",""
"Sao Tome and Principe","2008","Male","6.4 [4.1-8.8]",""
"Sao Tome and Principe","2008","Female","15.4 [9.7-22.3]",""
"Sao Tome and Principe","2008","Both sexes","11.3 [7.9-15.2]",""
"Saudi Arabia","2008","Both sexes","35.2 [32.0-38.4]",""
"Saudi Arabia","2008","Female","43.5 [38.3-48.2]",""
"Saudi Arabia","2008","Male","29.5 [25.5-34.1]",""
"Senegal","2008","Male","3.2 [0.8-7.8]",""
"Senegal","2008","Female","12.5 [8.0-18.3]",""
"Senegal","2008","Both sexes","8.0 [5.2-11.6]",""
"Serbia","2008","Both sexes","23.0 [19.8-26.2]",""
"Serbia","2008","Female","20.3 [15.4-25.1]",""
"Serbia","2008","Male","25.5 [21.4-29.5]",""
"Seychelles","2008","Male","15.1 [10.0-21.0]",""
"Seychelles","2008","Female","33.7 [26.5-40.8]",""
"Seychelles","2008","Both sexes","24.6 [20.2-29.0]",""
"Sierra Leone","2008","Both sexes","7.0 [5.4-8.8]",""
"Sierra Leone","2008","Female","10.1 [7.4-13.1]",""
"Sierra Leone","2008","Male","3.6 [2.3-5.3]",""
"Singapore","2008","Male","6.6 [4.8-8.5]",""
"Singapore","2008","Female","6.2 [3.9-8.7]",""
"Singapore","2008","Both sexes","6.4 [5.0-8.0]",""
"Slovakia","2008","Both sexes","24.6 [14.0-35.7]",""
"Slovakia","2008","Female","24.3 [8.7-41.8]",""
"Slovakia","2008","Male","24.9 [11.5-39.3]",""
